yj13.2,yj72.18a,yj6.2,yj10.2,yj21b,yj1.1.1
25000.0,2.0,40.0,11572.206741161686,42.0,3.0
18000.0,2.0,60.0,8205.665614460278,21.0,4.0
30000.0,1.0,48.0,4229.458427982815,19.0,4.0
38000.0,3.0,40.0,2053.3070003343964,28.0,1.0
40000.0,3.0,40.0,4102.2421732578405,28.0,1.0
8957.381936880614,2.0,40.0,3414.6713139268695,29.0,3.0
15000.0,1.0,40.0,974.728783306872,28.0,2.0
30000.0,3.0,40.0,7872.907211100284,14.0,2.0
24647.2237645815,1.0,42.0,6015.938148140266,21.0,2.0
20000.0,3.0,40.0,11064.417500376516,14.0,1.0
19610.6894496785,1.0,40.0,8803.67656258737,38.0,1.0
38000.0,3.0,40.0,3201.0546485480068,28.0,1.0
16187.215351751902,2.0,40.0,1812.1725018006748,34.0,2.0
14000.0,3.0,48.0,4736.291705975006,14.0,3.0
25000.0,3.0,40.0,5482.870335699214,37.0,2.0
18000.0,2.0,60.0,9638.092708002374,17.0,1.0
17000.0,2.0,40.0,2594.739111498572,28.0,2.0
12130.0,1.0,40.0,2163.194694709912,28.0,3.0
18000.0,2.0,44.0,7843.874274969526,14.0,3.0
38000.0,3.0,40.0,13703.271279367746,28.0,2.0
19300.0,3.0,36.0,2128.9589484340004,28.0,2.0
20000.0,3.0,36.0,3000.0,42.0,1.0
11000.0,2.0,40.0,4405.135215707131,28.0,3.0
30000.0,3.0,36.0,371.3807252818058,28.0,2.0
16000.0,2.0,40.0,4430.469917475928,42.0,2.0
22000.0,3.0,30.0,7052.764508814502,28.0,3.0
15000.0,2.0,48.0,5808.022383405703,27.0,3.0
12000.0,1.0,48.0,8375.654290673972,28.0,3.0
12000.0,2.0,48.0,12439.12035053291,28.0,2.0
20000.0,2.0,54.0,1282.658055829025,14.0,2.0
7500.0,1.0,36.0,19959.05433997868,28.0,4.0
33000.0,1.0,36.0,7000.0,43.0,2.0
20000.0,1.0,44.0,7058.7985263870505,14.0,4.0
50000.0,3.0,40.0,18000.0,28.0,2.0
44000.0,1.0,36.0,5000.0,43.0,2.0
30000.0,1.0,38.0,5000.0,42.0,2.0
35000.0,2.0,28.0,5000.0,29.0,2.0
30000.0,2.0,40.0,5389.211654973242,32.0,3.0
37000.0,3.0,30.0,2483.99760790103,28.0,2.0
15000.0,2.0,48.0,11895.041925170635,15.0,2.0
25000.0,2.0,40.0,5000.0,40.0,2.0
17000.0,2.0,48.0,2034.5930838057675,24.0,1.0
15000.0,1.0,40.0,19152.95432934889,27.0,1.0
20000.0,2.0,40.0,6533.449663787113,14.0,4.0
50000.0,3.0,40.0,3353.632663124047,35.0,2.0
14000.0,2.0,60.0,1285.9503386988686,38.0,3.0
12000.0,2.0,48.0,3969.350469312926,30.0,2.0
10000.0,2.0,48.0,10641.414551244148,35.0,3.0
10000.0,2.0,40.0,5095.756355743976,28.0,5.0
10000.0,1.0,48.0,16217.697337386891,28.0,2.0
50000.0,3.0,60.0,1424.945606845137,35.0,1.0
16000.0,2.0,48.0,11092.574349532588,14.0,4.0
10000.0,2.0,48.0,9939.913939397557,14.0,2.0
20000.0,1.0,48.0,4572.855882629546,28.0,2.0
18000.0,2.0,30.0,1465.339842448102,36.0,2.0
27000.0,3.0,32.0,3199.962007014287,35.0,2.0
14500.0,2.0,40.0,3654.394807269823,20.0,2.0
17000.0,2.0,40.0,4377.556177247112,28.0,2.0
20000.0,3.0,40.0,2260.2714808092055,30.0,2.0
24000.0,2.0,36.0,13454.961683699688,14.0,2.0
40000.0,3.0,45.0,4054.536320757507,25.0,2.0
22000.0,2.0,30.0,2468.6537592446584,30.0,2.0
19000.0,2.0,48.0,17996.601890375718,32.0,3.0
22105.410436734815,2.0,30.0,5479.992985209376,28.0,2.0
29648.17165330075,2.0,40.0,5534.478039110582,31.0,2.0
14334.62179972531,2.0,30.0,4682.196816580721,26.0,3.0
9000.0,2.0,30.0,3182.4629095881787,28.0,3.0
35000.0,3.0,45.0,5514.257364906469,28.0,2.0
35000.0,2.0,48.0,14479.668529012622,14.0,2.0
25000.0,3.0,48.0,4479.536060070524,20.0,2.0
20000.0,2.0,40.0,5057.3889494904215,42.0,5.0
23000.0,2.0,40.0,1180.198833323527,16.0,4.0
20000.0,3.0,40.0,16609.03725838101,28.0,2.0
50000.0,3.0,40.0,7376.657570740435,28.0,2.0
21000.0,3.0,40.0,2836.3417787250723,18.0,2.0
12000.0,2.0,36.0,3514.279105124889,28.0,2.0
30625.0,3.0,40.0,5252.215192585583,28.0,1.0
25000.0,1.0,40.0,2769.148123031536,28.0,2.0
60000.0,3.0,40.0,5000.0,28.0,1.0
23000.0,2.0,40.0,19557.911853036265,14.0,2.0
30000.0,2.0,48.0,2647.5888279521687,28.0,2.0
15000.0,2.0,48.0,4792.64175696396,32.0,2.0
24000.0,2.0,48.0,3155.7794899981423,28.0,2.0
19006.302319496783,3.0,40.0,14733.896425681938,36.0,2.0
16111.907073923652,2.0,48.0,5426.556385116025,37.0,2.0
15000.0,2.0,48.0,8200.864604386865,14.0,3.0
17000.0,2.0,36.0,15236.66078522112,30.0,3.0
15000.0,2.0,40.0,6173.950882090902,31.0,4.0
11000.0,2.0,40.0,3754.8695964764815,30.0,3.0
17000.0,2.0,40.0,2734.006482635979,29.0,2.0
17000.0,2.0,45.0,3867.5157741705266,22.0,3.0
25000.0,2.0,45.0,8508.543397830275,11.0,2.0
20000.0,2.0,42.0,17749.902946967486,30.0,2.0
22000.0,2.0,40.0,8000.0,28.0,2.0
25000.0,2.0,40.0,1814.905775602743,28.0,3.0
10000.0,2.0,48.0,6872.02583476833,14.0,4.0
30000.0,2.0,40.0,15740.614196628349,28.0,1.0
40000.0,2.0,40.0,3540.6297706021423,28.0,1.0
50000.0,2.0,60.0,1924.64099207616,15.0,1.0
10000.0,1.0,40.0,2168.8413570240164,29.0,3.0
30000.0,2.0,40.0,15130.24260192901,43.0,2.0
10000.0,1.0,48.0,4576.5788341167745,29.0,2.0
15000.0,2.0,40.0,4061.1095309585794,28.0,3.0
10000.0,2.0,36.0,6687.370987291539,28.0,5.0
10000.0,2.0,40.0,7616.295002656312,28.0,4.0
10700.0,2.0,48.0,7988.963576115967,28.0,3.0
15000.0,2.0,40.0,3549.937952850585,28.0,2.0
24000.0,3.0,60.0,19491.629800121613,39.0,4.0
40000.0,3.0,40.0,7783.362825704647,28.0,2.0
14000.0,2.0,40.0,18477.307391507187,18.0,3.0
24000.0,2.0,40.0,3700.0,32.0,2.0
27000.0,3.0,40.0,1900.0,18.0,2.0
17000.0,2.0,36.0,19896.88386452751,28.0,2.0
39720.690687695256,1.0,41.0,3089.48286740383,22.0,2.0
14144.991221481872,2.0,40.0,4682.708003405187,29.0,4.0
30000.0,2.0,45.0,7840.944230600219,18.0,2.0
18000.0,2.0,40.0,6511.58695613646,32.0,2.0
15000.0,3.0,48.0,2511.610596433934,18.0,2.0
20000.0,1.0,60.0,2148.677933566146,36.0,3.0
42000.0,2.0,40.0,12287.363883967691,43.0,1.0
25000.0,1.0,40.0,4977.416189771043,24.0,1.0
23000.0,2.0,45.0,3991.0393455103617,36.0,2.0
16843.076017033105,2.0,40.0,16108.983612706572,32.0,2.0
12500.0,2.0,48.0,3229.444351181955,28.0,3.0
30000.0,2.0,48.0,3817.139837696328,17.0,2.0
30000.0,2.0,48.0,850.0702375997191,43.0,2.0
17000.0,3.0,40.0,2927.2840282551715,41.0,3.0
19000.0,1.0,40.0,4526.262175915524,30.0,2.0
28800.0,3.0,60.0,1810.4305019702244,28.0,2.0
13914.125624590248,2.0,40.0,7271.464174989302,47.0,3.0
25000.0,2.0,40.0,5116.497297773084,28.0,2.0
32000.0,3.0,48.0,5495.011382444698,48.0,3.0
25000.0,3.0,50.0,15417.40671690276,48.0,2.0
36000.0,2.0,48.0,3634.2673983828895,42.0,3.0
25000.0,2.0,60.0,3000.0,28.0,4.0
20000.0,3.0,36.0,5594.1470485172,48.0,2.0
25000.0,3.0,40.0,1334.2511045307317,14.0,2.0
32000.0,3.0,40.0,5530.104450230537,25.0,2.0
25000.0,2.0,40.0,829.8548568532838,28.0,3.0
21000.0,2.0,40.0,3431.2880800385246,28.0,2.0
25000.0,2.0,40.0,3148.44322005698,28.0,2.0
19395.328676091936,2.0,40.0,7652.939334122411,22.0,2.0
20000.0,2.0,28.0,1453.3602030931577,42.0,2.0
25000.0,3.0,48.0,9009.459733851329,28.0,4.0
16000.0,2.0,40.0,12764.922884248395,25.0,2.0
10500.0,2.0,40.0,2051.1798160576373,28.0,3.0
27000.0,3.0,40.0,3776.1122386065313,28.0,3.0
30000.0,3.0,40.0,6807.477985138345,28.0,2.0
40000.0,3.0,40.0,1346.9561958392835,32.0,2.0
13000.0,2.0,36.0,4981.221780672568,18.0,3.0
40000.0,2.0,60.0,9117.746847233062,24.0,2.0
10000.0,1.0,41.0,2573.6918545669932,28.0,3.0
6000.0,3.0,48.0,2141.4757178339532,25.0,3.0
33690.2031896743,2.0,48.0,10342.88339036276,28.0,4.0
45000.0,2.0,48.0,877.3959155901741,36.0,2.0
23000.0,1.0,48.0,7440.970786960251,34.0,2.0
23000.0,2.0,48.0,5163.02640236015,48.0,1.0
13400.0,3.0,40.0,5989.14502185578,36.0,2.0
30000.0,3.0,48.0,3466.644331313128,36.0,2.0
18000.0,3.0,48.0,1947.6685501626353,17.0,2.0
